epoch,trial,production,response_time,firing_time,rewarded_time,delivered_reward,passed_time,received_reward,u,utility,at,difficulty,payoff
24,1,P2,0.18,0.125,0.125,0.1799,0.075,0.10490000000000001,0.04196,-0.5291077,0.0746,5,10
24,2,P8,0.35,0.523,0.523,8.808,0.248,8.56,5.4783998,3.5485244,0.2477,5,10
25,1,P3,0.19,0.141,0.141,0.4743,0.091,0.3833,0.15332,0.74287444,0.0911,5,10
25,2,P7,0.3,0.494,0.494,7.3106,0.203,7.1076,4.548864,4.2114964,0.2028,5,10
25,3,P7,0.3,0.847,0.847,7.3106,0.203,7.1076,4.548864,4.2114964,0.2028,5,10
26,1,P7,0.3,0.253,0.253,7.3106,0.203,7.1076,5.572358,4.689484,0.2028,5,10
26,2,P7,0.3,0.606,0.606,7.3106,0.203,7.1076,5.572358,4.689484,0.2028,5,10
27,1,P8,0.35,0.298,0.298,8.808,0.248,8.56,5.4783998,4.4649534,0.2477,5,10
27,2,P8,0.35,0.696,0.696,8.808,0.248,8.56,5.4783998,4.4649534,0.2477,5,10
28,1,P8,0.35,0.298,0.298,8.808,0.248,8.56,5.4783998,6.1624393,0.2477,5,10
28,2,P8,0.35,0.696,0.696,8.808,0.248,8.56,5.4783998,6.1624393,0.2477,5,10
29,1,P9,0.4,0.352,0.352,9.5257,0.302,9.223700000000001,5.9031677,6.681963,0.3025,5,10
29,2,P9,0.4,0.804,0.804,9.5257,0.302,9.223700000000001,5.9031677,6.681963,0.3025,5,10
30,1,P1,0.16,0.111,0.111,0.0669,0.061,0.0059000000000000025,0.0023599998,0.106682524,0.0611,5,10
30,2,P2,0.18,0.336,0.336,0.1799,0.075,0.10490000000000001,0.04196,-1.2426865,0.0746,5,10
30,3,P4,0.21,0.597,0.597,1.192,0.111,1.081,0.43240005,-0.18798423,0.1113,5,10
31,1,P10,0.47,0.42,0.42,9.8201,0.37,9.4501,6.048064,3.6570678,0.3695,5,10
32,1,P10,0.47,0.42,0.42,9.8201,0.37,9.4501,6.048064,4.9440165,0.3695,5,10
33,1,P5,0.24,0.186,0.186,2.6894,0.136,2.5534,1.634176,0.73579466,0.1359,5,10
33,2,P5,0.24,0.472,0.472,2.6894,0.136,2.5534,1.634176,0.73579466,0.1359,5,10
34,1,P9,0.4,0.352,0.352,9.5257,0.302,9.223700000000001,5.9031677,5.3575497,0.3025,5,10
34,2,P9,0.4,0.804,0.804,9.5257,0.302,9.223700000000001,5.9031677,5.3575497,0.3025,5,10
35,1,P4,0.21,0.161,0.161,1.192,0.111,1.081,0.43240005,0.7123803,0.1113,5,10
35,2,P1,0.16,0.372,0.372,0.0669,0.061,0.0059000000000000025,0.0023599998,-0.43220085,0.0611,5,10
35,3,P9,0.4,0.824,0.824,9.5257,0.302,9.223700000000001,3.6894798,4.388455,0.3025,5,10
36,1,P7,0.3,0.253,0.253,7.3106,0.203,7.1076,5.572358,4.551789,0.2028,5,10
36,2,P7,0.3,0.606,0.606,7.3106,0.203,7.1076,5.572358,4.551789,0.2028,5,10
37,1,P2,0.18,0.125,0.125,0.1799,0.075,0.10490000000000001,0.04196,0.1937435,0.0746,5,10
37,2,P7,0.3,0.478,0.478,7.3106,0.203,7.1076,4.548864,4.9621634,0.2028,5,10
37,3,P7,0.3,0.831,0.831,7.3106,0.203,7.1076,4.548864,4.9621634,0.2028,5,10
38,1,P7,0.3,0.253,0.253,7.3106,0.203,7.1076,5.572358,4.904484,0.2028,5,10
38,2,P7,0.3,0.606,0.606,7.3106,0.203,7.1076,5.572358,4.904484,0.2028,5,10
39,1,P3,0.19,0.141,0.141,0.4743,0.091,0.3833,0.33362433,1.2777859,0.0911,5,10
39,2,P3,0.19,0.382,0.382,0.4743,0.091,0.3833,0.33362433,1.2777859,0.0911,5,10
39,3,P3,0.19,0.623,0.623,0.4743,0.091,0.3833,0.33362433,1.2777859,0.0911,5,10
39,4,P3,0.19,0.864,0.864,0.4743,0.091,0.3833,0.33362433,1.2777859,0.0911,5,10
40,1,P5,0.24,0.186,0.186,2.6894,0.136,2.5534,2.0018656,2.7955177,0.1359,5,10
40,2,P5,0.24,0.472,0.472,2.6894,0.136,2.5534,2.0018656,2.7955177,0.1359,5,10
40,3,P5,0.24,0.758,0.758,2.6894,0.136,2.5534,2.0018656,2.7955177,0.1359,5,10
41,1,P6,0.27,0.216,0.216,5.0,0.166,4.834,3.09376,3.1322074,0.166,5,10
41,2,P3,0.19,0.457,0.457,0.4743,0.091,0.3833,0.15332,0.5223439,0.0911,5,10
41,3,P6,0.27,0.773,0.773,5.0,0.166,4.834,3.09376,3.1322074,0.166,5,10
42,1,P7,0.3,0.253,0.253,7.3106,0.203,7.1076,5.572358,4.657395,0.2028,5,10
42,2,P7,0.3,0.606,0.606,7.3106,0.203,7.1076,5.572358,4.657395,0.2028,5,10
43,1,P3,0.19,0.141,0.141,0.4743,0.091,0.3833,0.15332,-0.7787942,0.0911,5,10
43,2,P6,0.27,0.457,0.457,5.0,0.166,4.834,3.09376,3.988285,0.166,5,10
43,3,P6,0.27,0.773,0.773,5.0,0.166,4.834,3.09376,3.988285,0.166,5,10
44,1,P5,0.24,0.186,0.186,2.6894,0.136,2.5534,1.02136,0.87195057,0.1359,5,10
44,2,P3,0.19,0.427,0.427,0.4743,0.091,0.3833,0.15332,-0.12892811,0.0911,5,10
44,3,P2,0.18,0.652,0.652,0.1799,0.075,0.10490000000000001,0.067136005,1.6399261,0.0746,5,10
44,4,P2,0.17,0.877,0.877,0.1799,0.075,0.10490000000000001,0.067136005,1.6399261,0.0746,5,10
45,1,P3,0.19,0.141,0.141,0.4743,0.091,0.3833,0.15332,-0.37335074,0.0911,5,10
45,2,P10,0.47,0.661,0.661,9.8201,0.37,9.4501,3.78004,2.1552072,0.3695,5,10
46,1,P7,0.3,0.253,0.253,7.3106,0.203,7.1076,5.572358,5.0218525,0.2028,5,10
46,2,P7,0.3,0.606,0.606,7.3106,0.203,7.1076,5.572358,5.0218525,0.2028,5,10
47,1,P5,0.24,0.186,0.186,2.6894,0.136,2.5534,2.0018656,1.6974696,0.1359,5,10
47,2,P5,0.24,0.472,0.472,2.6894,0.136,2.5534,2.0018656,1.6974696,0.1359,5,10
47,3,P1,0.16,0.683,0.683,0.0669,0.061,0.0059000000000000025,0.0023599998,-0.6009934,0.0611,5,10
48,1,P8,0.35,0.298,0.298,8.808,0.248,8.56,5.4783998,4.507228,0.2477,5,10
48,2,P8,0.35,0.696,0.696,8.808,0.248,8.56,5.4783998,4.507228,0.2477,5,10
49,1,P3,0.19,0.141,0.141,0.4743,0.091,0.3833,0.245312,1.1474614,0.0911,5,10
