seed,ans,le,mas,egs,alpha,imaginal-activation,motivation,init_cost,update_cost,valid_cue_percentage,n_trials,session
none,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,0.8,20,1
none,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,0.8,20,2
none,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,0.8,20,3
none,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,0.8,20,4
none,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,0.8,20,5
none,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,0.8,20,6
none,0.5,0.63,4.0,0.1,0.4,3.0,1,0.05,False,0.8,20,7
